iso3,month,ndvi_mean
IRQ,5,0.1678999960422516
IRQ,6,0.1362999975681305
IRQ,7,0.12950000166893
IRQ,8,0.1284999996423721
IRQ,9,0.1280999928712844
IRQ,10,0.1301999986171722
IRQ,11,0.1424999982118606
IRQ,12,0.1509999930858612
ISL,1,-0.092299997806549
ISL,2,-0.034800000488758
ISL,3,0.0115999998524785
ISL,4,0.0395999997854232
ISL,5,0.1473000049591064
ISL,6,0.2644999921321869
ISL,7,0.3625000119209289
ISL,8,0.3957999944686889
ISL,9,0.3637000024318695
ISL,10,0.2084999978542328
ISL,11,0.0410000011324882
ISL,12,-0.0520000010728836
ISR,1,0.3300999999046325
ISR,2,0.3515999913215637
ISR,3,0.3310000002384186
ISR,4,0.2666999995708465
ISR,5,0.2275000065565109
ISR,6,0.2074999958276748
ISR,7,0.2048999965190887
ISR,8,0.1996999979019165
ISR,9,0.1934999972581863
ISR,10,0.1942999958992004
ISR,11,0.1968999952077865
ISR,12,0.219200000166893
ITA,1,0.4975000023841858
ITA,2,0.5092999935150146
ITA,3,0.5455999970436096
ITA,4,0.593500018119812
ITA,5,0.6348000168800354
ITA,6,0.6061000227928162
ITA,7,0.5934000015258789
ITA,8,0.5792999863624573
ITA,9,0.5978000164031982
ITA,10,0.5878999829292297
ITA,11,0.5795000195503235
